id,section,quiz_type,question_en,question_vi,audio_url,image_url,explanation_en,explanation_vi,order
85,7,Speaking,Say 'Good evening' in Chinese.,Nói 'Chào buổi tối' bằng tiếng Trung.,,,,,16
86,7,Translate to CN,Translate 'Hello' to Chinese.,Dịch 'Xin chào' sang tiếng Trung.,,,,,17
87,7,Translate to CN,Translate 'Goodbye' to Chinese.,Dịch 'Tạm biệt' sang tiếng Trung.,,,,,18
88,8,Flashcard,Learn the word '谢谢',Học từ '谢谢',,,,,1
89,8,Flashcard,Learn the word '对不起',Học từ '对不起',,,,,2
90,8,Flashcard,Learn the phrase '没关系',Học cụm từ '没关系',,,,,3
91,8,Flashcard,Learn the word '请',Học từ '请',,,,,4
92,8,Flashcard,Learn the phrase '不客气',Học cụm từ '不客气',,,,,5
93,8,Match Pairs,Match the words with their meanings,Nối các từ với nghĩa của chúng,,,,,6
94,8,Match Pairs,Match the words with their English meanings,Nối các từ với nghĩa tiếng Anh của chúng,,,,,7
95,9,Multiple Choice,Which sentence correctly uses '谢谢' to express gratitude?,Câu nào sử dụng '谢谢' một cách đúng đắn để bày tỏ lòng biết ơn?,,,The correct structure is '谢谢 + Object'.,Cấu trúc đúng là '谢谢 + Đối tượng'.,1
96,9,Multiple Choice,What is a polite response to '谢谢'?,Đáp lại '谢谢' một cách lịch sự là gì?,,,A common response to '谢谢' is '不客气' or '没关系'.,Một câu trả lời phổ biến cho '谢谢' là '不客气' hoặc '没关系'.,2
97,9,Fill in the Blank,Complete the sentence: 他 ______ 很好。,Hoàn thành câu: 他 ______ 很好。,,,Choose the appropriate word to express apology.,Chọn từ phù hợp để bày tỏ lời xin lỗi.,3
98,9,Fill in the Blank,Fill in the blank: 我们 ______ 你。,Điền vào chỗ trống: 我们 ______ 你。,,,Select the word that completes the sentence expressing gratitude.,Chọn từ hoàn thành câu bày tỏ lòng biết ơn.,4
99,9,Multiple Choice,How would you apologize to someone formally?,Làm thế nào bạn có thể xin lỗi ai đó một cách trang trọng?,,,The formal way to apologize is using '对不起'.,Cách trang trọng để xin lỗi là sử dụng '对不起'.,5
100,9,Fill in the Blank,"Complete the apology: ______, 我迟到了。","Hoàn thành lời xin lỗi: ______, 我迟到了。",,,Use '对不起' to apologize for being late.,Sử dụng '对不起' để xin lỗi vì đến muộn.,6
101,9,Multiple Choice,Which is not a correct response to '谢谢'?,Câu nào không phải là câu trả lời đúng cho '谢谢'?,,,"'对不起' is used to apologize, not to respond to '谢谢'.","'对不起' được dùng để xin lỗi, không phải để đáp lại '谢谢'.",7
102,9,Fill in the Blank,Fill in the blank: 他 ______ 我。,Điền vào chỗ trống: 他 ______ 我。,,,Select the word that conveys the meaning of gratitude.,Chọn từ diễn đạt ý nghĩa của lòng biết ơn.,8
103,9,Multiple Choice,Which sentence uses '对不起' correctly?,Câu nào sử dụng '对不起' đúng cách?,,,The phrase '对不起' is used to apologize to someone.,Cụm từ '对不起' được dùng để xin lỗi ai đó.,9
104,9,Fill in the Blank,"Complete the sentence: ______, 我不懂。","Hoàn thành câu: ______, 我不懂。",,,'对不起' can be used to politely express that you don't understand.,'对不起' có thể được dùng để lịch sự bày tỏ rằng bạn không hiểu.,10
105,9,Multiple Choice,How would you say 'thank you' in a simple sentence?,Làm thế nào bạn nói 'cảm ơn' trong một câu đơn giản?,,,The simplest form is just '谢谢'.,Hình thức đơn giản nhất chỉ là '谢谢'.,11
106,9,Fill in the Blank,Fill in the blank: 你 ______ 我。,Điền vào chỗ trống: 你 ______ 我。,,,Choose the word that completes the sentence expressing gratitude.,Chọn từ hoàn thành câu bày tỏ lòng biết ơn.,12
107,9,Multiple Choice,What is a way to dismiss an apology politely?,Cách nào để phớt lờ một lời xin lỗi một cách lịch sự?,,,Saying '没关系' means 'it's okay' or 'no problem'.,Nói '没关系' có nghĩa là 'không sao' hoặc 'không vấn đề gì'.,13
